case_id,method,source_type,source_id,target_type,label_source,tags,hybrid_ready_expected,cold_start,latency_ms,time_to_first_usable_ms,result_count,coverage,explanation_coverage,cold_start_success,mrr,precision_at_5,recall_at_5,ndcg_at_5,hit_rate_at_5
hybrid_exp_001_to_project,embedding_only,expert,exp_001,project,admin_review,['hybrid_ready'],True,False,28.71,28.71,5,0.7142857142857143,0.0,1.0,1.0,0.2,0.5,0.7039180890341347,1.0
hybrid_exp_001_to_project,hybrid,expert,exp_001,project,admin_review,['hybrid_ready'],True,False,2123.36,2123.36,5,0.7142857142857143,0.8,1.0,0.25,0.2,0.5,0.3031610197508214,1.0
ent_001_to_project,random,enterprise,ent_001,project,admin_review,[],False,False,1809.71,1809.71,5,0.7142857142857143,1.0,1.0,0.0,0.0,0.0,0.0,0.0
ent_001_to_project,topic_overlap,enterprise,ent_001,project,admin_review,[],False,False,11.93,11.93,2,0.2857142857142857,0.0,1.0,1.0,0.5,0.5,0.7039180890341347,1.0
ent_001_to_project,embedding_only,enterprise,ent_001,project,admin_review,[],False,False,48.56,48.56,5,0.7142857142857143,0.0,1.0,0.5,0.2,0.5,0.44412286644879784,1.0
ent_001_to_project,hybrid,enterprise,ent_001,project,admin_review,[],False,False,2068.54,2068.54,5,0.7142857142857143,1.0,1.0,1.0,0.2,0.5,0.46927872602275644,1.0
ent_001_to_expert,random,enterprise,ent_001,expert,admin_review,[],False,False,1806.63,1806.63,5,0.35714285714285715,0.8,1.0,1.0,0.2,0.5,0.7039180890341347,1.0
ent_001_to_expert,topic_overlap,enterprise,ent_001,expert,admin_review,[],False,False,8.3,8.3,2,0.14285714285714285,0.0,1.0,1.0,0.5,0.5,0.7039180890341347,1.0
ent_001_to_expert,embedding_only,enterprise,ent_001,expert,admin_review,[],False,False,28.32,28.32,5,0.35714285714285715,0.0,1.0,1.0,0.2,0.5,0.7039180890341347,1.0
ent_001_to_expert,hybrid,enterprise,ent_001,expert,admin_review,[],False,False,1675.74,1675.74,5,0.35714285714285715,1.0,1.0,0.0,0.0,0.0,0.0,0.0
hybrid_ent_001_to_project,random,enterprise,ent_001,project,admin_review,['hybrid_ready'],True,False,1610.94,1610.94,5,0.7142857142857143,1.0,1.0,0.2,0.2,0.5,0.18154179253735267,1.0
